company,country,averageage,averagetenure,women%,marketcap
Murphy Oil Corporation,USA,62.8,10.2,16.7,5.5
Flughafen Zuerich AG,Switzerland,59.3,5.8,37.5,5.5
"Dick's Sporting Goods, Inc.",USA,59.3,12.8,11.1,5.5
VCA Inc.,USA,61.2,17.2,0,5.5
Micro Focus International plc,United Kingdom,54.1,3.3,25,5.5
Core Laboratories N.V.,USA,64.3,7.7,33.3,5.5
Barratt Developments plc,United Kingdom,55.9,5.7,28.6,5.5
"Copart, Inc.",USA,53.9,13.5,0,5.5
"athenahealth, Inc.",USA,57,9,28.6,5.5
"OPKO Health, Inc.",USA,67.4,8.9,20,5.4
STMicroelectronics NV,Netherlands,54.8,3.8,33.3,5.4
CubeSmart,USA,58.1,6,25,5.4
"Assurant, Inc.",USA,63.7,6.9,20,5.4
"Old Dominion Freight Line, Inc.",USA,67.6,15.1,0,5.4
Lend Lease Group,Australia,62.7,6,22.2,5.4
First Quantum Minerals Ltd.,Canada,62.6,11.8,0,5.4
Cochlear Ltd.,Australia,57,5.8,25,5.4
Icade,France,53.4,2.8,37.5,5.4
Klabin S.A.,Brazil,72.9,12.1,8.3,5.4
Weatherford International plc,USA,68.3,14.5,0,5.4
Fuchs Petrolub SE,Germany,64,6.7,16.7,5.4
Tata Steel Ltd.,India,61.5,7.6,8.3,5.4
Treasury Wine Estates Ltd.,Australia,59.2,4.6,12.5,5.4
W. R. Grace & Co.,USA,65,7.4,14.3,5.4
Aberdeen Asset Management plc,United Kingdom,57,10.1,28.6,5.4
"The Hain Celestial Group, Inc.",USA,59.6,8.1,12.5,5.4
Marico Limited,India,58.1,11,11.1,5.4
Calpine Corporation,USA,57.8,6.8,12.5,5.4
"H&R Block, Inc.",USA,61.2,6.2,20,5.4
Smurfit Kappa Group plc,United Kingdom,61.3,8.2,16.7,5.4
"Douglas Emmett, Inc.",USA,61.7,7.4,11.1,5.3
Keyera Corp.,Canada,61,6.3,22.2,5.3
Zions Bancorporation,USA,63,15.5,27.3,5.3
TEGNA Inc.,USA,60.6,5,50,5.3
SVB Financial Group,USA,60.8,7.5,27.3,5.3
Alstom,France,60.4,6.8,33.3,5.3
PhosAgro OJSC,Russia,50.2,3.7,0,5.3
Ingram Micro Inc.,USA,62,8.6,30,5.3
United Spirits Limited,India,60.5,1.9,12.5,5.3
AECOM,USA,60.9,4.6,20,5.3
"Royal Gold, Inc.",USA,62.5,4.3,0,5.3
WABCO Holdings Inc.,USA,64.1,5.3,11.1,5.2
Weingarten Realty Investors,USA,63.9,24.9,11.1,5.2
Senior Housing Properties Trust,USA,63.6,10.2,20,5.2
"AutoNation, Inc.",USA,52.9,7.7,20,5.2
BioMerieux SA,France,59.1,9.3,22.2,5.2
William Demant Holding A/S,Denmark,52.9,7,25,5.2
Tryg A/S,Denmark,55.3,4.3,58.3,5.2
"Vail Resorts, Inc.",USA,55.8,8.8,25,5.2
Tiger Brands Ltd,South Africa,56.5,6.8,23.1,5.2
Bharat Heavy Electricals Ltd.,India,59.5,1.5,12.5,5.2
"AVNET, INC.",USA,61.5,5.4,20,5.2
Coca-Cola Amatil Ltd.,Australia,60.6,7.5,30,5.2
Imerys,France,52,2.9,41.2,5.2
Sonoco Products Company,USA,61.5,8.5,15.4,5.2
"Sun Communities, Inc.",USA,63.4,16.6,14.3,5.2
Marvell Technology Group Ltd.,USA,62.5,8.2,16.7,5.2
"Highwoods Properties, Inc.",USA,64.9,11,14.3,5.2
"East West Bancorp, Inc.",USA,65.9,11.3,20,5.2
ROBERT HALF INTERNATIONAL INC.,USA,63.9,15.4,14.3,5.2
EPR Properties,USA,62,7.3,14.3,5.2
Nari Technology Development Ltd Co,China,50.5,1.1,8.3,5.1
Qiagen NV,Netherlands,57.3,5.9,28.6,5.1
MGM China Holdings Ltd.,Hong Kong,56.8,5.3,16.7,5.1
TFS Financial Corporation,USA,64.5,9.9,9.1,5.1
"Voya Financial, Inc.",USA,60.3,2.4,40,5.1
Edenred,France,52.8,4.4,36.4,5.1
Lojas Renner,Brazil,57.6,4.5,12.5,5.1
Rational AG,Germany,78,6.8,0,5.1
Edgewell Personal Care Company,USA,61.6,6,12.5,5.1
Hanon Systems,South Korea,57.4,1.3,0,5.1
Growthpoint Properties Ltd,South Africa,58.3,10.1,14.3,5.1
NewMarket Corporation,USA,66.7,18.6,14.3,5.1
ERIE INDEMNITY COMPANY,USA,67.3,9.9,15.4,5.1
Old Republic International Corporation,USA,75.1,18.5,9.1,5.1
Halma plc,United Kingdom,53,6.3,25,5.1
Veeva Systems Inc.,USA,55.8,4.2,0,5.1
"Casey's General Stores, Inc.",USA,63.3,6.7,22.2,5.1
Helvetia Holding AG,Switzerland,58.3,6.1,20,5.1
China CSSC Holdings Ltd.,China,55.4,2.2,7.1,5.1
United Company RUSAL Plc,Hong Kong,52.1,5,22.2,5.1
Andritz AG,Austria,56.3,7.8,22.2,5.1
"Skechers U.S.A., Inc.",USA,62.6,15,0,5.1
StarHub Ltd.,Singapore,62.6,8.9,7.7,5.1
"Orbital ATK, Inc.",USA,68.6,4.3,13.3,5.1
Travis Perkins plc,United Kingdom,53.9,4.8,25,5
"AptarGroup, Inc.",USA,62.7,11.4,30,5
"Brown & Brown, Inc.",USA,66.3,12.8,16.7,5
Provident Financial plc,United Kingdom,56.9,6.3,28.6,5
"ABIOMED, Inc.",USA,64,13.3,14.3,5
Intu Properties plc,United Kingdom,60.9,7.6,27.3,5
"Bemis Company, Inc.",USA,63,7.5,18.2,5
"Starwood Property Trust, Inc.",USA,56.3,6,16.7,5
Dixons Carphone plc,United Kingdom,53.9,7,23.1,5
RenaissanceRe Holdings Ltd.,USA,59.5,6.1,18.2,5
H&R Real Estate Investment Trust,Canada,63.2,16,0,5
Kion Group AG,Germany,56.1,4,18.8,5
Rentokil Initial plc,United Kingdom,58.1,6.6,28.6,5
Teleperformance,France,61.5,5.6,42.9,5
The Toro Company,USA,60.5,12.4,20,5
AXIS Capital Holdings Limited,USA,68.3,9.4,25,5
Ipsen,France,53.5,7,36.4,5
"Dolby Laboratories, Inc.",USA,54.6,7.6,11.1,5
"Live Nation Entertainment, Inc.",USA,58.7,7.6,8.3,5
Orpea,France,54.8,6.3,30,5
Pennon Group plc,United Kingdom,58.7,4.1,28.6,5
Wendel,France,62.4,4.5,50,5
"Offshore Oil Engineering Co., Ltd.",China,53.6,2.6,0,5
Fraport AG Frankfurt Airport Services Worldwide,Germany,62.8,3.9,20,5
PacWest Bancorp,USA,61,8.8,8.3,5
American Homes 4 Rent,USA,65.9,3.6,0,5
"Keysight Technologies, Inc.",USA,62.4,1.9,12.5,5
Nordson Corporation,USA,58.9,7.9,11.1,4.9
Nokian Tyres OYJ,Finland,56.1,3.7,42.9,4.9
"Allison Transmission Holdings, Inc.",USA,61.4,3.5,0,4.9
Capitec Bank Holdings Ltd,South Africa,56.4,9,18.2,4.9
United Therapeutics Corporation,USA,63.9,10.5,30,4.9
Panera Bread Company,USA,60.7,10.6,11.1,4.9
Orion Corp.,South Korea,55.4,8.8,0,4.9
NCsoft Corp.,South Korea,53.4,7.4,0,4.9
"Watsco, Inc.",USA,62,11.9,11.1,4.9
Tahoe Resources Inc.,Canada,66.3,4.2,11.1,4.9
Magnitogorsk Iron & Steel Works,Russia,46.6,4,20,4.9
DS Smith plc,United Kingdom,54.1,3.1,25,4.9
Hypermarcas S.A.,Brazil,52.1,1,9.1,4.9
MTU Aero Engines AG,Germany,59.6,6.7,16.7,4.9
Faurecia,France,60.5,5.5,33.3,4.9
"First Solar, Inc.",USA,63.3,8.4,9.1,4.9
"Sovran Self Storage, Inc.",USA,63.5,11.5,0,4.9
"Patterson Companies, Inc.",USA,58.4,6.6,37.5,4.9
"Blue Buffalo Pet Products, Inc.",USA,55.3,5.4,22.2,4.9
"NRG Energy, Inc.",USA,62.8,8.2,7.7,4.9
Gold Fields Ltd,South Africa,63.6,8.6,20,4.9
"Piedmont Natural Gas Company, Inc.",USA,62.2,8.2,23.1,4.9
Suedzucker AG,Germany,54.5,7.7,20,4.9
"Burlington Stores, Inc.",USA,57.7,4.9,22.2,4.8
PARMALAT S.p.A.,Italy,57.4,2.8,25,4.8
Prysmian S.p.A.,Italy,56.8,5.5,9.1,4.8
ManpowerGroup Inc.,USA,61.3,7.3,33.3,4.8
"Envision Healthcare Holdings, Inc.",USA,62.4,4.3,12.5,4.8
Cairn India Limited,India,59.7,7.3,14.3,4.8
"Berry Plastics Group, Inc.",USA,57.9,3.8,11.1,4.8
"WellCare Health Plans, Inc.",USA,63.1,6.8,11.1,4.8
Hysan Development Co. Ltd.,Hong Kong,61.6,10.6,10,4.8
"Chongqing Water Group Co., Ltd.",China,52.5,0.8,0,4.8
"People's United Financial, Inc.",USA,66.5,11.4,16.7,4.8
ComfortDelGro Corporation Limited,Singapore,66.8,12.5,12.5,4.8
Inmarsat plc,United Kingdom,63,5.8,16.7,4.8
"Arista Networks, Inc.",USA,54.3,5.1,28.6,4.8
Qantas Airways Limited,Australia,56.4,4.8,33.3,4.8
National Fuel Gas Company,USA,64.7,6.9,0,4.8
The Berkeley Group Holdings plc,United Kingdom,55.2,8.2,23.1,4.8
Energen Corporation,USA,63.6,7.5,10,4.8
"Williams-Sonoma, Inc.",USA,61.1,9.7,40,4.8
Spark New Zealand Limited,New Zealand,61,4,14.3,4.8
Wacker Chemie AG,Germany,58.3,8,12.5,4.8
"Donaldson Company, Inc.",USA,59.1,6.7,10,4.8
Husqvarna AB,Sweden,51.6,4.4,45.5,4.7
Hospitality Properties Trust,USA,63.4,12.2,20,4.7
"MDU Resources Group, Inc.",USA,65.4,10.9,20,4.7
"Parsley Energy, Inc.",USA,52.3,2,0,4.7
ARRIS International plc,USA,63,7,22.2,4.7
KUKA AG,Germany,62.5,4.9,8.3,4.7
Hellenic Telecommunications Organization SA,Greece,49.7,3.1,9.1,4.7
Great Plains Energy Incorporated,USA,62.9,8.9,11.1,4.7
"Commerce Bancshares, Inc.",USA,60.4,16.8,8.3,4.7
"CalAtlantic Group, Inc.",USA,63.4,5.1,10,4.7
"B/E Aerospace, Inc.",USA,67.9,11.9,14.3,4.6
Gentex Corporation,USA,71.1,11.9,11.1,4.6
"Acadia Healthcare Company, Inc.",USA,56.9,4.6,0,4.6
Jones Lang LaSalle Incorporated,USA,57.8,5.6,30,4.6
The Howard Hughes Corporation,USA,60.8,5.8,11.1,4.6
DUET Group,Australia,58,5.3,44.4,4.6
Saipem,Italy,55,5,33.3,4.6
The Dun & Bradstreet Corporation,USA,55.7,4.4,30,4.6
Peyto Exploration & Development Corp.,Canada,52.1,10.3,0,4.6
CJ CheilJedang Co.,South Korea,64,2.4,0,4.6
"Taubman Centers, Inc.",USA,68.9,14.7,0,4.6
"Communications Sales & Leasing, Inc.",USA,54.8,1,25,4.6
UnipolSai Assicurazioni SpA,Italy,56.1,3.3,36.8,4.6
Auto Trader Group plc,United Kingdom,49.5,3.4,12.5,4.6
Booz Allen Hamilton Holding Corporation,USA,60.9,5.4,27.3,4.6
Endurance Specialty Holdings Ltd.,USA,64.9,7.4,7.1,4.6
Navient Corporation,USA,61.5,2.1,58.3,4.6
Koninklijke Boskalis Westminster NV,Netherlands,62.7,6,0,4.6
"Manhattan Associates, Inc.",USA,57.6,10.7,0,4.6
"Guidewire Software, Inc.",USA,55.3,4.5,0,4.6
BGF Retail Co. Ltd.,South Korea,49.3,2,0,4.6
The Scotts Miracle-Gro Company,USA,60.8,7.7,30,4.6
Divi's Laboratories Limited,India,60,12.5,12.5,4.6
Rightmove plc,United Kingdom,51.3,6.4,25,4.5
"Toll Brothers, Inc.",USA,69.5,19.1,9.1,4.5
Huhtamaki Oyj,Finland,64.1,6.6,28.6,4.5
"Nuance Communications, Inc.",USA,58.3,9.6,11.1,4.5
First American Financial Corporation,USA,66,4.7,22.2,4.5
Domino's Pizza Enterprises Ltd.,Australia,73,8.2,16.7,4.5
Samsung Card Co.,South Korea,55.9,2.9,14.3,4.5
IAC/InterActiveCorp,USA,56.8,8,25,4.5
AusNet Services,Australia,64.4,3.6,22.2,4.5
Compagnie Plastic Omnium,France,62,14.6,38.5,4.5
"Equity One, Inc.",USA,62.4,9.4,22.2,4.5
"MSC Industrial Direct Co., Inc.",USA,61.4,12.9,12.5,4.5
ACC Ltd.,India,61.3,4.2,8.3,4.5
PSP Swiss Property AG,Switzerland,58.4,7,12.5,4.5
The Weir Group plc,United Kingdom,56.1,4.7,20,4.5
Graco Inc.,USA,64.1,13.2,22.2,4.5
Fletcher Building Ltd.,New Zealand,58.8,3.6,25,4.5
Brunswick Corporation,USA,64.4,8,20,4.5
Eurazeo,France,60.1,6.4,30.8,4.5
CJ Korea Express Corp.,South Korea,56.1,1.8,0,4.5
"Healthcare Trust of America, Inc.",USA,69.4,7.5,0,4.5
STORE Capital Corporation,USA,59.6,3,0,4.4
Indiabulls Housing Finance Ltd.,India,57.3,1,9.1,4.4
PTC INC.,USA,65.9,8.6,14.3,4.4
Transocean Ltd.,USA,58.3,5.4,9.1,4.4
Hanwha Life Insurance Co. Ltd.,South Korea,57.7,3.1,0,4.4
Rand Merchant Insurance Holdings Limited,South Africa,56.1,13.7,7.1,4.4
Questar Corporation,USA,59.4,8.9,25,4.4
"FLIR Systems, Inc.",USA,64.9,10.1,20,4.4
"TESARO, Inc.",USA,60.1,3.8,30,4.4
"AmTrust Financial Services, Inc.",USA,68.9,14,14.3,4.4
Tatts Group Ltd.,Australia,64.5,8.3,14.3,4.4
PrairieSky Royalty Ltd.,Canada,54.6,2,20,4.4
Inter RAO UES PJSC,Russia,46.2,2.6,7.1,4.4
"Cinemark Holdings, Inc.",USA,61.8,9.3,20,4.4
FEI Company,USA,63.5,9.1,25,4.4
Companhia Siderurgica Nacional - CSN,Brazil,60.8,10.6,0,4.4
Moscow Exchange MICEX-RTS PJSC,Russia,52,4.7,22.2,4.3
DKSH Holding AG,Switzerland,61,9.1,0,4.3
DCT Industrial Trust Inc.,USA,61.6,10,12.5,4.3
Zardoya Otis S.A.,Spain,62.8,13,9.1,4.3
BOK Financial Corporation,USA,62.7,12.5,10,4.3
AmSurg Corp.,USA,63.6,12.7,18.2,4.3
Realogy Holdings Corp.,USA,56,4.9,37.5,4.3
IPG Photonics Corporation,USA,64.2,10.7,0,4.3
Mediaset Spa,Italy,61.5,14.7,13.3,4.3
"QEP Resources, Inc.",USA,62.6,4.3,14.3,4.3
Eutelsat Communications,France,53.1,3.7,50,4.3
Shriram Transport Finance Company Limited,India,57.1,4.6,11.1,4.3
Detour Gold Corporation,Canada,60.4,4.8,20,4.3
Tate & Lyle plc,United Kingdom,58.6,4.2,27.3,4.3
Vectren Corporation,USA,60.5,10.8,18.2,4.3
"Cullen/Frost Bankers, Inc.",USA,65.6,13.3,13.3,4.3
Santander Consumer USA Holdings Inc.,USA,57.2,1.2,15.4,4.3
Columbia Sportswear Company,USA,69,20.7,27.3,4.3
"Sally Beauty Holdings, Inc.",USA,59.9,7,28.6,4.3
"Dunkin' Brands Group, Inc.",USA,56.9,6.2,22.2,4.3
K+S Aktiengesellschaft,Germany,57.1,7.8,12.5,4.3
CyrusOne Inc.,USA,55.6,2.5,12.5,4.3
Graphic Packaging Holding Company,USA,61.4,5.2,10,4.3
TDC A/S,Denmark,57.3,6.3,16.7,4.3
Olin Corporation,USA,64.3,9.3,8.3,4.3
Container Corporation of India Ltd.,India,58.4,3.6,10,4.3
Lazard Ltd,USA,63.1,6,20,4.3
Companhia Brasileira de Distribuicao Grupo Pao de Acucar,Brazil,56.8,3.1,9.1,4.3
Cameco Corporation,Canada,61.2,6.4,20,4.2
"Brocade Communications Systems, Inc.",USA,63.3,7.3,20,4.2
HollyFrontier Corporation,USA,61.9,4.9,0,4.2
Kesko Oyj,Finland,54.1,2,28.6,4.2
"Lincoln Electric Holdings, Inc.",USA,64.4,12.5,18.2,4.2
"Bio-Rad Laboratories, Inc.",USA,66.5,14.7,33.3,4.2
Hindalco Industries Ltd,India,68.6,10.9,10,4.2
Cosan S.A. Industria e Comercio,Brazil,50.6,6.3,0,4.2
"Teradyne, Inc.",USA,64.3,8,12.5,4.2
Meggitt plc,United Kingdom,59.4,5.4,22.2,4.2
USG Corporation,USA,59.8,6.6,11.1,4.2
Element Financial Corporation,Canada,63.6,3.6,11.1,4.2
Empire Company Limited,Canada,59.2,10,26.7,4.2
A2A SpA,Italy,53.9,2,27.3,4.2
Seek Ltd.,Australia,61.3,7.8,33.3,4.2
Remy Cointreau,France,55,8.7,41.7,4.2
Bright Horizons Family Solutions Inc.,USA,59.9,14.8,41.7,4.2
DLF Ltd.,India,66.3,10.9,7.1,4.2
LG Uplus Corp.,South Korea,56.3,0.9,0,4.2
Kingspan Group plc,Ireland,54.3,10.4,18.2,4.2
Dongbu Insurance Co.,South Korea,61.6,2.8,0,4.1
JUST EAT plc,United Kingdom,48.1,3.3,14.3,4.1
"White Mountains Insurance Group, Ltd.",USA,67.4,9.4,14.3,4.1
AMC Networks Inc.,USA,66,4.1,14.3,4.1
Bio-Techne Corporation,USA,63.8,11,11.1,4.1
Gramercy Property Trust,USA,59.9,1,11.1,4.1
Shinsei Bank Ltd.,Japan,70.9,11.4,0,4.1
Lanxess AG,Germany,58.3,4.5,25,4.1
Italcementi Spa,Italy,61.7,11.9,20,4.1
ATCO Ltd.,Canada,64.6,7.1,30,4.1
GS Holdings Corp.,South Korea,63.1,5.6,0,4.1
"DST Systems, Inc.",USA,61.3,2.4,12.5,4.1
"Advanced Micro Devices, Inc.",USA,59.1,5,22.2,4.1
"Retail Properties of America, Inc.",USA,60.1,7.3,12.5,4.1
E-MART Co. Ltd.,South Korea,55.4,1.9,0,4.1
AGCO Corporation,USA,65.5,9.3,10,4.1
Power Finance Corporation Ltd.,India,58.4,3.9,0,4.1
Rexel,France,58.1,3,44.4,4.1
"IDACORP, Inc.",USA,62.8,6.8,20,4.1
Tele2 AB,Sweden,49.5,2.1,50,4.1
Healthcare Realty Trust Incorporated,USA,67.2,13.2,22.2,4
Fisher & Paykel Healthcare Corp,New Zealand,60.6,8.6,14.3,4
First Capital Realty Inc.,Canada,56.8,8.8,25,4
Pool Corporation,USA,63.6,14,0,4
SEGRO plc,United Kingdom,55.3,4.2,10,4
"Charles River Laboratories International, Inc.",USA,65.4,11.8,11.1,4
"Match Group, Inc.",USA,49.2,0.9,30,4
Li & Fung Limited,Hong Kong,62.6,15.8,12.5,4
Credit Acceptance Corporation,USA,56.4,15.2,20,4
HERA SPA,Italy,54.8,4.6,21.4,4
"Neurocrine Biosciences, Inc.",USA,63.5,11.9,10,4
Hyosung Corp.,South Korea,60.1,12.3,0,4
Cellnex Telecom S.A.,Spain,58.2,1.4,0,4
CSRA Inc.,USA,58.2,0.9,30,4
Chicago Bridge & Iron Company N.V.,USA,66.2,8.3,22.2,4
Sibanye Gold Ltd,South Africa,56.8,3.3,7.7,4
Moncler SpA,Italy,55,2.8,27.3,4
"Tanger Factory Outlet Centers, Inc.",USA,65.1,11.9,12.5,4
Piramal Enterprises Limited,India,63.6,11,16.7,4
Bruker Corporation,USA,62.4,7.1,7.7,4
Castellum AB,Sweden,53.9,4.6,57.1,4
SYNNEX Corporation,USA,63.6,9.7,10,4
Derwent London plc,United Kingdom,57.5,11.2,15.4,4
"Tableau Software, Inc.",USA,58.6,7.6,0,4
Booker Group plc,United Kingdom,53.6,6.9,25,4
"Validus Holdings, Ltd.",USA,61.1,8.1,27.3,4
Inchcape plc,United Kingdom,53.7,4.1,30,4
Hiscox Ltd,United Kingdom,60.3,8.4,30,4
Embraer SA,Brazil,57.1,3,7.1,4
LIC Housing Finance Ltd.,India,66,2.3,20,3.9
CONSOL Energy Inc.,USA,63.5,4.2,9.1,3.9
VWR Corporation,USA,60.7,8.4,11.1,3.9
"Jabil Circuit, Inc.",USA,58.9,11.4,22.2,3.9
Hexcel Corporation,USA,59.9,7.7,18.2,3.9
Endo International plc,USA,59.3,6,18.2,3.9
Mediaset Espana Comunicacion SA,Spain,67.1,12.8,7.7,3.9
Challenger Ltd,Australia,60.3,6.3,25,3.9
Investec plc,United Kingdom,57.4,11.3,18.8,3.9
RusHydro PJSC,Russia,47,1.5,9.1,3.9
Metso Corporation,Finland,58.8,3.4,25,3.9
Sembcorp Industries Limited,Singapore,64,5.1,10,3.9
ON Semiconductor Corporation,USA,61.4,8,10,3.9
Portland General Electric Company,USA,64.4,7.5,18.2,3.9
M. Dias Branco S.A Industria E Comercio De Alimentos,Brazil,69.8,10,40,3.9
"Flowers Foods, Inc.",USA,66.4,7.8,16.7,3.9
Corrections Corporation of America,USA,62.6,10.1,22.2,3.9
Ashok Leyland Limited,India,59.3,9.7,8.3,3.9
Redefine Properties Ltd,South Africa,58.8,4.5,15.4,3.9
AltaGas Ltd.,Canada,65.6,10.5,20,3.9
"Syntel, Inc.",USA,61.4,14.6,12.5,3.9
Braskem S.A.,Brazil,55,3.4,18.2,3.9
Eagle Materials Inc.,USA,65.1,12.6,0,3.9
"Thor Industries, Inc.",USA,64,12.6,0,3.9
ICAP plc,United Kingdom,59,8.8,0,3.9
Vocus Communications Ltd,Australia,58.5,9,0,3.9
Fortress Income Fund Ltd,South Africa,50.3,4.8,12.5,3.8
MICROSEMI CORPORATION,USA,66.1,13.1,0,3.8
Raiffeisen Bank International AG,Austria,54.3,4.8,26.7,3.8
Ackermans & van Haaren,Belgium,50.3,12.6,30,3.8
HEICO Corporation,USA,67.7,15.6,9.1,3.8
Curtiss-Wright Corporation,USA,65,7.5,20,3.8
Gulfport Energy Corporation,USA,57.3,6.3,0,3.8
Distribuidora Internacional De Alimentacion SA,Spain,57.1,5.2,30,3.8
Hugo Boss AG,Germany,55.5,6.5,33.3,3.8
Telekom Austria AG,Austria,51.3,3.3,13.3,3.8
Spirax-Sarco Engineering plc,United Kingdom,58,6.1,11.1,3.8
Konica Minolta Inc.,Japan,67.6,9.6,0,3.8
"MAXIMUS, Inc.",USA,71.4,14.6,11.1,3.8
"Square, Inc.",USA,54.8,4.1,25,3.8
NCR Corporation,USA,60.1,8.4,11.1,3.8
Alere Inc.,USA,62.4,5.5,10,3.8
Genesee & Wyoming Inc.,USA,62.7,9,9.1,3.8
Synovus Financial Corp.,USA,65,6.8,16.7,3.8
Vermilion Energy Inc,Canada,62.8,9.2,22.2,3.8
Worldline,France,54.2,2,22.2,3.8
Cobham plc,United Kingdom,59,4.2,22.2,3.8
Boral Ltd.,Australia,59.3,5,42.9,3.8
Rostelecom PJSC,Russia,46.2,2.2,13.3,3.8
"Euronet Worldwide, Inc.",USA,65.8,14.6,12.5,3.8
Healthscope Ltd.,Australia,56,2.5,16.7,3.7
Shangri-la Asia Ltd.,Hong Kong,60.9,8.3,10,3.7
R. R. Donnelley & Sons Company,USA,63.3,9.3,30,3.7
"BWX Technologies, Inc.",USA,63.1,2.6,12.5,3.7
Jyske Bank A/S,Denmark,55.6,7.8,20,3.7
Natura Cosmeticos S.A.,Brazil,57.3,4.6,22.2,3.7
ACADIA Pharmaceuticals Inc.,USA,54.7,2.1,14.3,3.7
UPL Limited,India,65.1,14.2,16.7,3.7
"Prosperity Bancshares, Inc.",USA,70.5,14.8,9.1,3.7
DMG MORI AG,Germany,55.2,3.9,16.7,3.7
Elior Group,France,58.8,4.7,44.4,3.7
"Akorn, Inc.",USA,66.4,8.9,25,3.7
Harvey Norman Holdings Ltd.,Australia,58,17.8,11.1,3.7
Huntsman Corporation,USA,68.9,10.5,12.5,3.7
Incitec Pivot Ltd,Australia,60,5.3,28.6,3.7
Southwest Gas Corporation,USA,62.7,8.8,9.1,3.7
"OneMain Holdings, Inc.",USA,56.8,4.7,16.7,3.7
G4S plc,United Kingdom,57.7,3.2,22.2,3.7
S-1 Corp.,South Korea,56.9,2.6,0,3.7
COGNEX CORPORATION,USA,68.1,14.9,0,3.7
Computershare Limited,Australia,56.6,10.3,25,3.7
Smart Real Estate Investment Trust,Canada,60.4,9,0,3.7
Kerry Properties Ltd.,Hong Kong,58.1,9.1,12.5,3.7
EchoStar Corporation,USA,63.9,7.6,0,3.7
"Cracker Barrel Old Country Store, Inc.",USA,62.7,5.2,22.2,3.7
"Investors Bancorp, Inc.",USA,65.2,7.7,16.7,3.7
Equity Commonwealth,USA,61.5,2,9.1,3.7
Petrofac Ltd,United Kingdom,57.6,4.6,20,3.7
"Quanta Services, Inc.",USA,59,7.5,10,3.7
Quebecor Inc.,Canada,63.1,7,20,3.7
"Intercept Pharmaceuticals, Inc.",USA,54.1,3.8,0,3.7
National Instruments Corporation,USA,65.5,17.5,12.5,3.7
Resilient REIT Ltd,South Africa,48.7,8.5,18.2,3.7
"Woodward, Inc.",USA,61.6,13.2,11.1,3.7
Bombardier Inc.,Canada,62.9,13.5,26.7,3.7
"Ryder System, Inc.",USA,60.8,8.1,27.3,3.7
"Bank of the Ozarks, Inc.",USA,63.4,9.4,20,3.6
WEX Inc.,USA,63.3,9,20,3.6
Fair Isaac Corporation,USA,58.3,6.5,12.5,3.6
"ViaSat, Inc.",USA,69.8,16,0,3.6
Orica Ltd.,Australia,60.8,3.7,16.7,3.6
"First Niagara Financial Group, Inc.",USA,66.1,4.5,20,3.6
"Tempur Sealy International, Inc.",USA,59.6,6.1,14.3,3.6
"Leidos Holdings, Inc.",USA,61.6,5.6,20,3.6
IMI plc,United Kingdom,59.1,3.7,22.2,3.6
Cabela's Incorporated,USA,65.7,12.3,22.2,3.6
"Guanghui Energy Co., Ltd.",China,51.1,1.8,18.2,3.6
Brembo S.p.A.,Italy,60.5,12.9,18.2,3.6
B&M European Value Retail SA,United Kingdom,55.6,3.8,12.5,3.6
Swedish Orphan Biovitrum AB,Sweden,56.5,4.7,40,3.6
"The Hanover Insurance Group, Inc.",USA,64.3,8.7,30,3.6
Western Alliance Bancorporation,USA,64.4,12.3,6.7,3.6
HealthSouth Corporation,USA,63.2,9.7,30,3.6
Playtech plc,United Kingdom,58.8,4.5,0,3.6
"Morningstar, Inc.",USA,61.1,13.3,30,3.6
Regus plc,United Kingdom,58.4,7,25,3.6
Teledyne Technologies Incorporated,USA,69.3,10.7,20,3.6
Regal Entertainment Group,USA,61,11,11.1,3.6
"Medical Properties Trust, Inc.",USA,60.6,10.3,14.3,3.6
"WGL Holdings, Inc.",USA,65.3,9.2,40,3.6
Hanssem Co.,South Korea,59.1,7.3,0,3.6
Hanwha Chemical Corp.,South Korea,59,2.1,0,3.6
Glenmark Pharmaceuticals Ltd.,India,65.2,12.7,20,3.6
Bluescope Steel Ltd.,Australia,54.9,4.1,25,3.6
Temenos Group AG,Switzerland,63.3,6.7,14.3,3.6
Oshkosh Corporation,USA,62.7,6,8.3,3.6
CETIP S.A. - Mercados Organizados,Brazil,55.6,4.6,0,3.6
PUMA SE,Germany,52.6,6.7,11.1,3.6
Tribune Media Company,USA,53.3,3.3,14.3,3.6
Ritchie Bros. Auctioneers Incorporated,USA,58.9,7.3,14.3,3.6
"CoreLogic, Inc.",USA,64.2,8.2,22.2,3.6
"Paramount Group, Inc.",USA,59.6,1.6,33.3,3.6
Freenet AG,Germany,52.3,3.8,33.3,3.6
Pitney Bowes Inc.,USA,64,10.7,36.4,3.6
"RSP Permian, Inc.",USA,58.5,2.4,0,3.6
"DreamWorks Animation SKG, Inc.",USA,59.8,7.3,25,3.6
"Diamond Offshore Drilling, Inc.",USA,67.6,11.5,0,3.5
Cypress Semiconductor Corporation,USA,62,9.9,0,3.5
Buzzi Unicem Spa,Italy,62.2,9.9,23.1,3.5
Colfax Corporation,USA,54.4,7.9,12.5,3.5
Umpqua Holdings Corporation,USA,56.4,6.5,36.4,3.5
Teradata Corporation,USA,64,6.8,20,3.5
Fibria Celulose SA,Brazil,54.7,4.4,0,3.5
"PrivateBancorp, Inc.",USA,65,9.5,27.3,3.5
