Company,Country,Board size,Average age,Average tenure,# Over life expectancy,# Women,Market cap ($m)
China International Travel Service Corp. Ltd.,China,6,55.7,2.5,0,0,6484.92
CIT Group Inc.,US,13,64.1,6,0,4,6486.84
Kohl's Corporation,US,10,58.6,10.7,0,2,6488.61
IDEX Corporation,US,8,56.1,5,0,2,6494.09
"TECO Energy, Inc.",US,9,68.7,12.8,0,2,6508.25
Flowserve Corporation,US,10,60.4,8.1,0,2,6511.83
Trimble Navigation Limited,US,9,59.1,7.6,0,2,6512.85
"PulteGroup, Inc.",US,10,59,8.2,0,2,6515.79
Mallinckrodt plc,US,11,63,2.8,0,3,6519.08
Aurobindo Pharma Ltd.,India,10,54.9,12.2,2,1,6524.23
Sonic Healthcare Limited,Australia,7,59.9,11.9,0,2,6525.21
Axalta Coating Systems Ltd.,US,9,52.2,2.7,0,1,6530.67
"Nordstrom, Inc.",US,12,56.3,6.7,0,2,6535.03
Turquoise Hill Resources Ltd.,Canada,7,58.9,3.1,0,2,6560.15
"Zayo Group Holdings, Inc.",US,7,52.1,3.6,0,2,6561.98
Societe Bic,France,10,56.2,15.7,0,3,6576.27
ICA Gruppen AB,Sweden,12,52.2,5,0,3,6585.23
Alfa Laval AB,Sweden,11,55.8,8.6,0,4,6597.21
Global Logistic Properties Limited,Singapore,10,61.6,4.1,0,0,6598.26
"Jack Henry & Associates, Inc.",US,8,55.3,3.4,0,3,6608.17
Hammerson plc,UK,10,54.9,5.5,0,2,6631.01
"Samsung SDI Co., Ltd.",South Korea,9,56,2,0,0,6634.33
"Leggett & Platt, Incorporated",US,9,63.6,12.8,0,2,6634.36
Koninklijke Vopak NV,Netherlands,6,62.2,6.7,0,0,6634.66
Bed Bath & Beyond Inc.,US,10,66.6,18.8,2,2,6637.77
Teck Resources Limited,Canada,14,62.3,10,0,2,6643.32
Stora Enso Oyj,Finland,8,59.4,4.5,0,2,6643.58
Dixons Carphone plc,UK,13,53.9,7,0,3,6661.2
Signet Jewelers Limited,US,10,63.7,5.2,0,4,6670.28
"CF Industries Holdings, Inc.",US,10,60.7,6.9,0,2,6671.14
Siemens Limited,India,10,60.1,9.1,3,1,6674.22
Burberry Group plc,UK,12,55.1,5.8,0,4,6675.58
Casino Guichard Perrachon,France,13,60.8,9.3,0,4,6678.66
"NVR, Inc.",US,12,65.4,12.3,0,0,6685.31
Mediobanca SPA,Italy,18,56.6,4.2,0,5,6689.43
Westinghouse Air Brake Technologies Corporation,US,10,68.5,14.4,0,0,6691.24
Yes Bank Limited,India,10,66.3,4,4,1,6700.52
ASX Ltd.,Australia,9,58.5,4,0,2,6704.2
Ingenico Group,France,9,58.2,5.8,0,3,6708.97
WEG S.A.,Brazil,7,57.7,6.9,0,0,6711.9
AngloGold Ashanti Ltd,South Africa,11,60.8,5,5,3,6713.79
Barry Callebaut AG,Switzerland,10,54.6,5.1,0,1,6723.85
RPM International Inc.,US,13,63.2,11.7,0,2,6724.65
Genting Singapore PLC,Singapore,5,64,13.2,0,0,6727.07
Anglo American Platinum Ltd,South Africa,12,55.3,4.3,2,2,6728.56
EDP Renovaveis S.A.,Spain,17,55.3,5,0,1,6734.22
KT Corp.,South Korea,11,59.3,1.7,0,0,6743.87
Avery Dennison Corporation,US,10,59.4,9.2,0,2,6751.51
"Spectrum Brands Holdings, Inc.",US,9,59.1,4.8,1,0,6765.91
News Corporation,US,12,54.3,2,1,3,6768.69
Seagate Technology plc,US,11,61.5,5.3,0,3,6769.61
James Hardie Industries plc,Australia,10,63.6,6.5,0,2,6783.76
EnCana Corporation,Canada,11,61.6,5.1,0,3,6798.78
Shoprite Holdings Ltd,South Africa,14,62.1,14.6,8,1,6799.99
"CoStar Group, Inc.",US,7,62.3,14.7,0,0,6800.18
W. R. Berkley Corporation,US,9,63.6,24.1,0,1,6808.14
Shaanxi Coal Industry Company Limited,China,9,49.4,3.7,0,1,6820.5
"Gaming and Leisure Properties, Inc.",US,5,60.4,3,0,0,6823.97
Travis Perkins plc,UK,8,53.9,4.8,0,2,6839.41
Gildan Activewear Inc.,Canada,8,62.6,10,0,2,6846.44
"Qorvo, Inc.",US,10,60.6,0.2,0,0,6847.12
"HD Supply Holdings, Inc.",US,8,61.9,3.3,0,2,6848.84
Signature Bank,US,9,62.8,9.1,0,2,6849.55
FLEXTRONICS INTERNATIONAL LTD.,US,9,62.4,5.2,0,0,6850.17
Meda AB,Sweden,9,53.7,3,0,3,6855.17
"NATIONAL RETAIL PROPERTIES, INC.",US,7,60.4,8.7,0,0,6855.62
Yandex NV,Netherlands,9,57.3,10,1,2,6857.54
IGM Financial Inc.,Canada,18,61.1,9.8,0,3,6875.62
Bashneft PJSOC,Russia,10,55,0.9,1,0,6881.08
Technip,France,12,58.7,5.6,0,5,6909.99
Ashtead Group plc,UK,9,56,7.2,0,1,6910.91
Banco Popular Espanol S.A,Spain,16,62.8,7.1,0,3,6924.82
Keppel Corporation Limited,Singapore,10,61,5.8,0,2,6934.18
Aurizon Holdings Ltd.,Australia,8,55,3.3,0,2,6934.9
"Helmerich & Payne, Inc.",US,10,64.5,14.2,0,1,6940.44
ITC Holdings Corp.,US,9,66.3,7.4,0,1,6969.24
RioCan Real Estate Investment Trust,Canada,9,66.9,12.3,0,3,6978.45
MegaFon PJSC,Russia,10,52.1,2.1,0,1,6996.39
Tractebel Energia S.A.,Brazil,9,59.8,4.6,1,0,7021.52
CDW Corporation,US,14,57.9,4.8,0,3,7026.81
Coway Co. Ltd.,South Korea,7,43.7,3,0,0,7028.42
"NetApp, Inc.",US,10,62.5,7.4,0,1,7042.06
Hyundai Heavy Industries Co.,South Korea,7,62,1.1,0,0,7057.22
Groupe Eurotunnel SE,France,11,67.1,6.8,0,4,7060.28
Shree Cement Ltd.,India,11,67.2,12,6,1,7070.12
The Middleby Corporation,US,7,65,16.7,0,2,7075.09
Novolipetsk Steel,Russia,10,58.6,7.8,2,0,7082.07
W. P. Carey Inc.,US,13,67.8,7.2,0,2,7087.24
Fluor Corporation,US,11,63.9,8,0,2,7088.21
Ashland Inc.,US,10,64,8,0,1,7092.3
E*TRADE Financial Corporation,US,11,64.6,4.7,0,3,7099.22
Camden Property Trust,US,10,65.4,16.4,0,1,7099.92
Dufry AG,Switzerland,9,60.8,6.4,0,2,7100.29
Computer Sciences Corporation,US,10,58.7,3.9,0,1,7118.72
GPT Group,Australia,7,65.4,4.1,0,2,7119.9
BorgWarner Inc.,US,9,63.9,9.1,0,1,7127.03
Enagas S.A.,Spain,13,62,5.8,0,3,7138.15
ISS A/S,Denmark,8,53.5,3.3,0,3,7162.65
The Goodyear Tire & Rubber Company,US,13,61.8,6.3,0,2,7183.15
"Techtronic Industries Co., Ltd.",Hong Kong,11,62.7,17.4,0,0,7184.23
Eiffage,France,12,59.5,7,0,5,7188.18
RSA Insurance Group plc,UK,10,58.9,3.3,0,2,7194.07
Singapore Technologies Engineering Ltd.,Singapore,14,57.1,5.3,0,1,7205.68
InterContinental Hotels Group plc,UK,9,57.7,4.1,0,3,7209.38
AMERCO,US,8,68.4,14.9,0,0,7210.76
Torchmark Corporation,US,11,65.1,10.3,0,2,7225.77
Open Text Corporation,Canada,9,58.3,12.3,0,3,7243.92
Gail India Ltd.,India,7,56.4,2.3,0,1,7248.45
APA Group,Australia,8,63.2,5.4,0,2,7256.04
"Crown Holdings, Inc.",US,12,68.2,11.3,0,1,7261.19
Inter Pipeline Ltd.,Canada,8,65.3,7.1,0,2,7264.68
"Alexandria Real Estate Equities, Inc.",US,7,61,9.9,0,1,7278.09
A. O. Smith Corporation,US,10,63.1,11.7,0,1,7279.31
MSCI Inc.,US,12,58.3,6.5,0,4,7315.79
Fortescue Metals Group Ltd.,Australia,10,55,4.1,0,3,7317.43
Industrivarden AB,Sweden,8,58.4,3.3,0,3,7320.89
Mapfre S.A.,Spain,18,58.9,9,0,3,7327.93
"New York Community Bancorp, Inc.",US,12,71.8,12.2,3,1,7334.46
WorldPay Group plc,UK,9,56.6,1.3,0,1,7340
The AES Corporation,US,10,62.2,6.3,0,2,7361.04
Admiral Group plc,UK,10,51.9,8.3,0,3,7362.17
TPG Telecom Limited,Australia,5,56,9.4,0,0,7373.01
Range Resources Corporation,US,9,62.2,8.9,0,2,7390.72
"Raymond James Financial, Inc.",US,11,60.9,12.6,0,2,7396.44
"Cadence Design Systems, Inc.",US,9,63.7,13.1,1,1,7398.2
Direct Line Insurance Group plc,UK,8,56,4.1,0,2,7412.08
Hanmi Science Co. Ltd.,South Korea,3,51,2.3,0,0,7426.77
Babcock International Group plc,UK,13,59.1,5,0,2,7428.57
"Everest Re Group, Ltd.",US,9,67.3,8.6,1,1,7437.28
"Foot Locker, Inc.",US,10,64.6,11.2,0,3,7444.7
Gemdale Corp.,China,14,50.3,0.9,0,2,7452.83
Eicher Motors Limited,India,6,63.8,7.5,2,1,7457.07
"China Northern Rare Earth (Group) High-Tech Co., Ltd.",China,14,52.9,4.1,0,1,7461.39
"Broadridge Financial Solutions, Inc.",US,9,61.8,6,0,1,7465.3
"Sanan Optoelectronics Co., Ltd.",China,8,56,1.8,1,1,7469.2
Splunk Inc.,US,10,54,5.1,0,2,7482.47
3i Group plc,UK,8,56.3,3.4,0,3,7489.65
UGI Corporation,US,9,64.6,9.8,0,2,7497.8
"Huntington Ingalls Industries, Inc.",US,8,63.9,3.9,0,2,7500.07
S-Oil Corp.,South Korea,11,61,0.9,1,0,7517.32
"The Gap, Inc.",US,10,61.3,9.8,0,3,7525.51
Godrej Consumer Products Ltd.,India,12,59.4,8,1,3,7529.06
Wyndham Worldwide Corporation,US,7,65.3,10.9,0,2,7533.23
Oil Search Ltd.,Australia,9,63.3,7.8,0,1,7537.33
Teleflex Incorporated,US,9,64.2,9.6,0,2,7552.49
Coca-Cola HBC AG,UK,13,57.1,8.2,0,2,7555.97
Intertek Group plc,UK,8,57.4,3.4,0,3,7560.97
Origin Energy Ltd.,Australia,9,60.2,6.4,0,3,7573.94
"Mid-America Apartment Communities, Inc.",US,10,63.7,7.1,0,1,7578.16
Comerica Incorporated,US,9,60.2,12.3,0,2,7609.57
Royal Mail plc,UK,9,58.9,4.7,0,3,7620
Sabre Corporation,US,10,51.5,4.7,0,2,7625.89
Hikma Pharmaceuticals plc,UK,10,60.4,11.8,0,1,7627.85
"ANSYS, Inc.",US,9,61.1,8.7,0,1,7659.55
LG Display Co.,South Korea,7,58.3,4.4,0,0,7680.64
Tiffany & Co.,US,10,66.9,15.1,0,2,7689.59
PVH CORP.,US,11,57,7.5,0,2,7699.15
Wynn Macau Ltd.,Hong Kong,9,59.1,6,0,1,7710.16
Severn Trent plc,UK,8,54.5,2.8,0,2,7716.07
Dr. Reddy's Laboratories,India,10,64.8,12.7,4,1,7716.74
Zalando SE,Germany,9,47,1.8,0,1,7735.71
Atmos Energy Corporation,US,12,66.8,11.3,0,1,7743.15
Canadian Utilities Limited,Canada,12,63.1,8.7,0,5,7745.54
Regency Centers Corporation,US,9,62.9,15.3,0,1,7757.62
Brixmor Property Group Inc.,US,9,53.6,2,0,0,7767.68
The WhiteWave Foods Company,US,7,61.9,2.9,0,2,7777.33
Ralph Lauren Corporation,US,11,68.5,10.5,3,3,7778.7
Norsk Hydro ASA,Norway,10,58.7,6.4,0,3,7779.43
Marine Harvest ASA,Norway,10,46.9,2.6,0,4,7786.48
DCC plc,UK,10,57.4,6.9,0,3,7823.95
Quintiles Transnational Holdings Inc.,US,9,62.2,9.7,0,1,7826.3
"Cheniere Energy, Inc.",US,10,54.4,5.7,0,2,7828.12
Newfield Exploration Company,US,9,61.4,8.1,0,2,7832.23
SKF AB,Sweden,12,57.7,4.7,0,3,7835.3
Kangwon Land Inc.,South Korea,15,56.2,1.4,0,1,7854.05
"The Cooper Companies, Inc.",US,7,71.7,17.4,1,1,7864.13
IHS Inc.,US,9,65.6,9.6,0,2,7864.95
Huntington Bancshares Incorporated,US,11,62.2,8.6,0,2,7876.83
JBS S.A.,Brazil,8,54.8,4.3,1,0,7885.77
Swiss Life Holding,Switzerland,11,58.7,6.5,0,2,7909.36
"Synopsys, Inc.",US,10,62.8,14.7,0,2,7916.22
Alrosa PJSC,Russia,31,50.2,1.8,1,5,7918.97
"Alaska Air Group, Inc.",US,11,59.4,8.5,0,5,7923.91
LG Electronics Inc.,South Korea,9,58.4,2.7,0,0,7930.21
"F5 Networks, Inc.",US,9,59.7,8.2,0,2,7935.94
"Harley-Davidson, Inc.",US,9,62.2,12.2,0,1,7942.61
"Westar Energy, Inc.",US,9,61.9,10.9,0,2,7944.07
SEI Investments Company,US,6,69,25.2,0,2,7952.24
AGL Resources Inc.,US,15,66.6,9.9,0,3,7955.23
"IDEXX Laboratories, Inc.",US,9,62.3,8.9,0,3,7961.11
"Varian Medical Systems, Inc.",US,10,61.3,8.1,0,2,7978.03
"Canadian Tire Corporation, Limited",Canada,16,65.9,8.2,0,3,7981.5
Alleghany Corporation,US,8,63.5,9.8,0,1,7993.81
Johnson Matthey plc,UK,10,57.8,4.2,0,2,7996.8
Garmin Ltd.,US,6,63.5,9.7,0,0,8021.55
"Shenzhen Overseas Chinese Town Holding Co., Ltd",China,10,56.7,1.3,0,1,8022.77
NiSource Inc.,US,9,60.3,5.9,0,2,8025.75
Talanx AG,Germany,16,59.1,7.2,0,4,8030.59
DSV A/S,Denmark,6,57.5,4.8,0,2,8094.46
"Scripps Networks Interactive, Inc.",US,12,59.1,6.2,0,3,8110.01
Electrolux AB,Sweden,12,55.6,5.1,0,4,8126.27
Korea Zinc Co. Ltd.,South Korea,9,60.7,11.1,0,0,8141.77
Dabur India Ltd.,India,12,59.3,10.8,2,1,8156.62
"Valeant Pharmaceuticals International, Inc.",US,11,58.9,3.8,0,3,8157.26
Unum Group,US,13,60.2,6,0,3,8159.88
Brenntag AG,Germany,6,59.7,5.2,0,2,8162.24
Metro Inc.,Canada,14,58.5,7.4,0,5,8165.75
Aramark,US,12,59.6,5.3,0,2,8166.22
Xylem Inc.,US,10,61.7,4.4,0,1,8170.24
Chr.Hansen Holdings A/S,Denmark,10,54.8,4,0,2,8189.36
Rite Aid Corporation,US,9,62.4,5.1,0,2,8221.42
Ally Financial Inc.,US,11,60.2,4.3,0,3,8238.19
"Qingdao Haier Co., Ltd.",China,9,54.8,2.6,1,1,8261.93
Gjensidige Forsikring ASA,Norway,10,56.5,4.3,0,5,8265
ageas SA/NV,Belgium,14,59,3.9,0,4,8280.22
"Gartner, Inc.",US,9,63.1,14.1,0,2,8293.08
Remgro Ltd,South Africa,14,60,9.3,5,1,8309.51
ResMed Inc.,US,8,63.4,13,0,1,8315.07
BM&FBOVESPA S.A.,Brazil,9,56.7,2.7,0,0,8337.96
Barclays Africa Group Ltd,South Africa,14,55.8,4.7,4,3,8341.63
Lear Corporation,US,10,61.9,6.5,0,2,8342.43
Exor S.P.A.,Italy,15,49.2,4.5,0,4,8352.39
Crescent Point Energy Corp.,Canada,9,57.4,8,0,2,8380.04
Lotte Chemical Corp.,South Korea,7,58.6,2.8,0,1,8393.58
Persimmon plc,UK,8,55,5.9,0,2,8401.01
Stockland,Australia,8,59.8,5.4,0,3,8403.7
"IMS Health Holdings, Inc.",US,8,53.6,4.8,0,1,8408.57
Dollarama Inc.,Canada,10,59.1,8.3,0,1,8412.44
Governor and Company of the Bank of Ireland,Ireland,12,57.6,4.7,0,2,8414.45
Galenica AG,Switzerland,9,60.3,7.9,0,2,8414.78
RWE AG,Germany,20,58.5,4.6,0,5,8421.31
Arthur J. Gallagher & Co.,US,10,66.1,9.8,0,2,8426.03
Wartsila Oyj,Finland,8,58.8,4.8,0,2,8436.14
Mobile Telesystems PJSC,Russia,11,49.1,3,0,1,8447.06
CCR S.A.,Brazil,11,60.1,3.7,1,2,8459.52
CNA Financial Corporation,US,7,71,16.4,1,0,8476.84
Duke Realty Corporation,US,12,65.8,9.3,0,3,8510.24
Pinnacle West Capital Corporation,US,10,67.7,11.7,0,1,8519.99
"Stericycle, Inc.",US,10,64.8,12.4,0,1,8522.68
Marks and Spencer Group plc,UK,13,53.4,3.3,0,5,8525.38
Symrise AG,Germany,12,59,4.6,0,3,8531.28
New World Development Co. Ltd.,Hong Kong,14,58.9,13.1,0,2,8543.18
The Valspar Corporation,US,11,59.8,7.8,0,2,8545.43
Fiat Chrysler Automobiles NV,Netherlands,11,59.7,6.5,0,3,8558.92
Arch Capital Group Ltd.,US,11,58.2,8.3,0,1,8577.18
"Darden Restaurants, Inc.",US,12,55.5,1.1,0,3,8583.13
"GD Power Development Co., Ltd.",China,11,56.2,2.5,0,1,8596.73
Constellation Software Inc.,Canada,8,56.3,7.6,0,0,8599.95
Randgold Resources Ltd,UK,9,58.8,7.2,0,2,8603.26
Standard Life plc,UK,12,58.3,4,0,4,8612.6
Antero Resources Corporation,US,9,57.3,6.9,0,0,8619.85
"Fortune Brands Home & Security, Inc.",US,8,59.8,4.6,0,2,8641.2
Hargreaves Lansdown plc,UK,5,54.6,5,0,1,8642.09
Barratt Developments plc,UK,7,55.9,5.7,0,2,8659.91
Severstal PJSC,Russia,13,55.9,5.3,2,0,8661.6
Ingredion Incorporated,US,10,58.3,6.9,0,4,8667.23
Hang Lung Properties Ltd.,Hong Kong,9,65,13.3,0,1,8679.55
"CDK Global, Inc.",US,8,55.6,0.9,0,1,8689.52
Bunge Limited,US,10,56.5,7.2,0,2,8701.37
Sanlam Ltd,South Africa,18,59.7,7.3,6,3,8709.22
JCDecaux SA,France,9,63.2,7.4,0,3,8719.32
Taylor Wimpey plc,UK,9,53.1,5.4,0,2,8749.51
Michael Kors Holdings Limited,US,8,60.8,5,0,4,8765.37
Sonova Holding AG,Switzerland,8,57.6,6.1,0,2,8774.7
Albemarle Corporation,US,11,62.8,5,0,1,8776.04
Neste OYJ,Finland,7,59.1,3.6,0,3,8781.83
Skanska AB,Sweden,11,58.7,4,0,3,8811.14
Alliant Energy Corporation,US,10,58,7.4,0,5,8817
"VEREIT, Inc.",US,7,61.6,1.1,0,1,8822.22
"Juniper Networks, Inc.",US,10,58.1,8.6,0,1,8838.42
Uralkali PJSC,Russia,12,52.5,1.3,0,1,8841.15
SUEZ,France,20,56,4.2,0,9,8851.96
"Expeditors International of Washington, Inc.",US,11,61.8,8.7,0,2,8869.92
easyJet plc,UK,10,55,3.6,0,3,8873.6
"Affiliated Managers Group, Inc.",US,8,52.8,6,0,1,8899.22
Tesoro Corporation,US,10,66.3,6.8,0,2,8905.81
Hochtief AG,Germany,16,57.3,3.6,0,3,8924.61
Coty Inc.,US,8,62.1,6,0,0,8938.34
Snap-on Incorporated,US,9,62.6,7.1,0,2,8949.31
Mondi Ltd,South Africa,9,59.2,6.6,3,2,8975.27
Mondi plc,UK,9,59.2,6.6,0,2,8975.27
Intact Financial Corporation,Canada,12,60.8,9.9,0,4,8976.37
Jazz Pharmaceuticals plc,US,11,54.3,2.5,0,2,8986.41
United Internet AG,Germany,3,58.3,13.3,0,0,8989.51
CIMIC Group Ltd.,Australia,8,59.4,5.6,0,1,8990.3
Hero MotoCorp Ltd.,India,12,65.9,11.3,4,1,9002.22
Gecina,France,10,57.7,3.5,0,5,9040.48
"VeriSign, Inc.",US,7,65.7,9.3,0,2,9051.2
Mediclinic International PLC,UK,9,53.1,1.9,0,0,9057.26
"J.B. Hunt Transport Services, Inc.",US,10,58.8,15.1,0,2,9058.53
Vicinity Centres,Australia,11,60.6,2.3,0,3,9065.31
Singapore Airlines Limited,Singapore,8,62.9,6.1,0,1,9065.63
Bankia SA,Spain,11,57.4,3.5,0,1,9098.69
"UDR, Inc.",US,10,65.4,10.4,1,3,9098.7
Atos SE,France,11,62,6.4,0,5,9140.9
Lonza Group Ltd.,Switzerland,10,61.6,4.1,0,2,9155.18
"Akamai Technologies, Inc.",US,11,62.5,9,0,3,9167.65
Aspen Pharmacare Holdings Ltd,South Africa,9,53.2,9,2,2,9209.17
"Chongqing Changan Automobile Co., Ltd.",China,15,49.8,2.3,0,0,9229.74
Shaw Communications Inc.,Canada,16,65.6,15.6,1,3,9237.94
Fortis Inc.,Canada,12,60.5,4.8,0,4,9254.51
GEA Group AG,Germany,12,64.7,6.1,0,4,9273.2
United Utilities Group plc,UK,8,57.1,4.1,0,2,9273.68
Orkla ASA,Norway,10,53.1,3.8,0,4,9282.46
XL Group plc,US,13,66.4,6.7,0,2,9288.82
Silver Wheaton Corp.,Canada,9,63,9.2,0,1,9306.1
"Hologic, Inc.",US,10,57.5,5.9,0,4,9315.7
AGL Energy Ltd.,Australia,8,63.3,5.9,0,2,9317.78
Sealed Air Corporation,US,10,65.1,9.5,0,1,9324.86
Randstad Holding NV,Netherlands,7,55.6,4.4,0,2,9339.47
Nestle India Ltd.,India,8,64.8,8.4,2,1,9345.13
OMV AG,Austria,16,57,6.8,0,3,9357.71
The Western Union Company,US,11,61.5,5.5,0,2,9361.06
The Mosaic Company,US,11,59.5,6.6,0,2,9413.56
"ONEOK, Inc.",US,11,61.5,8,0,2,9450.5
"Total System Services, Inc.",US,13,66.6,18.4,0,2,9467.04
"Best Buy Co., Inc.",US,9,57.8,4.4,0,2,9469.57
Schroders plc,UK,10,59.9,11.4,1,2,9472.85
Jardine Cycle & Carriage Limited,Singapore,14,64.6,11.1,0,1,9475
LG Corp.,South Korea,7,59.7,3.3,0,0,9479.85
"CarMax, Inc.",US,11,61.8,8.3,1,2,9507.57
Wheelock & Co. Ltd.,Hong Kong,13,63.9,7.7,0,2,9509.05
Celltrion Inc.,South Korea,10,56.7,6.7,0,0,9517.09
"Shanghai Oriental Pearl Media Co., Ltd.",China,9,52.1,1.4,0,1,9527.69
Capitaland Limited,Singapore,9,64.3,4.1,0,1,9527.89
"The Interpublic Group of Companies, Inc.",US,10,64.5,7.7,0,4,9541.03
Goodman Group,Australia,11,65.2,6.9,0,2,9567.35
Aegon NV,Netherlands,8,63.5,5.4,0,2,9577.49
WestRock Company,US,14,61.1,1,0,2,9591.59
Sino Land Company Ltd.,Hong Kong,10,57.9,11.6,0,1,9597.33
Lennar Corporation,US,9,65.8,14.7,1,1,9601.1
The Sage Group plc,UK,8,58.1,3.5,0,2,9606.47
Cablevision Systems Corporation,US,18,66.7,11.1,3,3,9607.88
lululemon athletica inc.,US,10,52.8,4.2,0,4,9617.22
"TripAdvisor, Inc.",US,9,48.1,3.1,0,1,9632.63
Bunzl plc,UK,9,58.8,5.4,0,2,9639.25
Kansas City Southern,US,9,64.1,8.3,0,1,9649.78
"Fidelity National Financial, Inc.",US,10,63.1,8.6,2,0,9710.33
"Acs, Actividades de Construccion y Servicios S.A",Spain,18,64.9,11.9,0,3,9716.84
SES SA,Luxembourg,18,55.1,7.5,0,5,9717.3
Lupin Ltd.,India,10,66.9,13.4,5,2,9744.28
"Macy's, Inc.",US,13,58.5,9,0,6,9745.29
Yara International ASA,Norway,8,54,3,0,3,9759.96
Commerzbank AG,Germany,20,56.9,4.8,0,7,9768.39
Ningbo Port Company Ltd,China,11,52.5,2.9,0,0,9780.19
Dassault Aviation,France,10,66.7,12.7,2,3,9791.59
"Vantiv, Inc.",US,11,56.3,2.5,0,1,9800.5
"Annaly Capital Management, Inc.",US,9,61.1,11.8,0,2,9812.79
"Yunnan Baiyao Group Co., Ltd.",China,12,51.7,4.3,0,0,9850.91
LKQ Corporation,US,10,60.2,8.8,0,1,9856.67
"CBRE Group, Inc.",US,10,62,7,0,2,9861.82
Hanesbrands Inc.,US,10,63.5,7.3,0,2,9868.31
"CenterPoint Energy, Inc.",US,9,61.1,7.8,0,2,9891.33
CNH Industrial N.V.,Netherlands,11,59.3,2.5,0,4,9894.44
"Medivation, Inc.",US,7,57.7,5.3,0,3,9905.35
Bureau Veritas,France,11,53.5,6.5,0,4,9947.24
Norwegian Cruise Line Holdings Ltd.,US,9,59.9,4.1,1,0,9949.71
Iron Mountain Incorporated,US,10,59.6,6.1,0,2,9964.69
Samsung SDS Co. Ltd.,South Korea,7,56.4,1.3,0,0,9975.79
Julius Baer Gruppe AG,Switzerland,9,57.8,5.4,0,2,9979.66
Xerox Corporation,US,8,63.6,8.3,0,3,9988.2
"The Bank Of East Asia, Limited",Hong Kong,18,62,10.1,0,1,10034.99
Mettler-Toledo International Inc.,US,9,58.7,10.1,0,1,10037.34
Harris Corporation,US,12,64.3,10.8,0,2,10054.15
Cintas Corporation,US,9,65.3,15.4,1,1,10070.07
Upm-Kymmene Oy,Finland,10,57,6.2,0,3,10087.6
Bollore,France,18,50.7,8,0,6,10109.55
Erste Group Bank AG,Austria,18,55.9,5.8,0,6,10117.49
International Flavors & Fragrances Inc.,US,11,63.2,5.5,0,3,10150.76
KeyCorp,US,14,59.7,6.1,0,5,10175.87
"Wynn Resorts, Limited",US,9,68.6,8.2,1,1,10194.36
SCANA Corporation,US,11,60.4,9.5,0,2,10208.56
Ball Corporation,US,9,63.8,11.2,0,1,10212.23
Metro AG,Germany,20,57,6.7,0,5,10212.58
"Twitter, Inc.",US,8,49,4.4,0,2,10212.61
Textron Inc.,US,11,67.9,11.9,0,1,10215.61
Lincoln National Corporation,US,10,68.6,13.1,0,1,10236.68
First Republic Bank,US,12,65.6,4.9,0,4,10237.46
Banco de Sabadell S.A,Spain,15,59.3,8.2,0,2,10241.92
Masco Corporation,US,10,61,11,0,2,10265.22
Bosch Limited,India,8,59,5,0,1,10267.19
Capita plc,UK,10,50.7,4.1,0,3,10279.1
"Kangmei Pharmaceutical Co., Ltd.",China,9,50.8,2.8,0,1,10292.81
Genmab A/S,Denmark,7,60,5.6,1,1,10299.56
Celanese Corporation,US,9,62.8,5.3,0,3,10300.52
Jeronimo Martins SGPS S.A,Portugal,9,57,6,0,1,10314.12
Pearson plc,UK,10,56.5,2.3,0,3,10317.36
Solvay SA,Belgium,15,58.1,8.3,0,5,10322.95
Power Corporation Of Canada,Canada,12,61.7,10.5,0,2,10366.04
SL Green Realty Corp.,US,8,64.3,12.4,1,1,10367.45
"Airgas, Inc.",US,11,66.3,11.4,0,2,10407.85
"C.H. Robinson Worldwide, Inc.",US,9,60.7,10.6,0,3,10419.11
Insurance Australia Group Ltd.,Australia,10,59.6,4.9,0,3,10446.16
"Coach, Inc.",US,8,52.5,4.4,0,2,10509.52
"Mattel, Inc.",US,10,60.6,9.5,0,3,10536.8
Adecco Group AG,Switzerland,9,59.9,6.4,0,2,10547.01
Bouygues,France,16,54.8,8.2,0,7,10547.33
"Autoliv, Inc.",US,11,64,5.9,0,2,10553.32
The British Land Company plc,UK,12,56.5,4.7,0,3,10560.7
Pentair plc,US,11,60.8,9.5,0,2,10577.33
Whitbread plc,UK,10,54.4,5.6,0,3,10595.05
"Hasbro, Inc.",US,12,59.8,10.5,0,3,10607.16
"Maxim Integrated Products, Inc.",US,7,67,14.3,1,0,10630.36
First Data Corporation,US,8,59.3,5.3,0,1,10645.37
HKT Trust and HKT Limited,Hong Kong,12,59.1,4.2,0,2,10673.36
Bharti Infratel Ltd.,India,10,60,2.4,1,1,10676.98
Sika AG,Switzerland,10,61.3,9,0,1,10679.49
Liberty Broadband Corporation,US,5,67,1.8,0,0,10704.96
"NASDAQ, INC.",US,10,58.1,6.5,0,2,10711.55
Eastman Chemical Company,US,12,63.3,8.7,0,2,10727.03
"Whole Foods Market, Inc.",US,11,62.6,14.2,1,2,10751.2
Bharat Petroleum Corporation Ltd.,India,8,56.5,2.6,0,1,10754.43
Cimarex Energy Co.,US,10,67.3,8.9,2,1,10770.04
Next plc,UK,9,57.3,6.6,0,4,10794.2
Quest Diagnostics Incorporated,US,10,64.5,9.2,0,3,10818.65
Paddy Power Betfair plc,UK,11,53.4,6,0,2,10848.88
"Zhejiang Zheneng Electric Power Co., Ltd.",China,9,54.3,2.5,0,1,10867.16
Proximus,Belgium,14,58.5,5.4,0,6,10870.89
