Company,Country,Board size,Average age,Average tenure,# Over life expectancy,# Women,Market cap ($m)
Absolute Software Corporation,Canada,9,52.4,2.4,0,0,208.99
Bar Harbor Bankshares,US,11,59.2,8.4,0,4,209.3
Allied Motion Technologies Inc.,US,7,64.4,6.4,0,0,209.3
"RigNet, Inc.",US,8,54.4,5.9,0,0,209.42
"EnerNOC, Inc.",US,8,58.8,7.3,0,1,209.87
"Merchants Bancshares, Inc.",US,11,57.5,8.4,0,3,210.13
"Curis, Inc.",US,8,60.6,9.5,0,0,210.57
Harmonic Inc.,US,8,59.6,8.6,0,2,211.09
"Cambium Learning Group, Inc.",US,9,59.6,4.1,0,1,212.33
Huntsworth plc,UK,8,54.9,1.5,0,2,212.52
"Earthstone Energy, Inc.",US,7,53.1,4.6,0,0,213.06
Preformed Line Products Company,US,7,62.3,12.6,1,1,213.3
"Cellular Biomedicine Group, Inc.",US,9,54.7,1.7,0,0,213.58
Goodwin plc,UK,9,44.1,11.2,0,1,214.01
The New Home Company Inc.,US,11,58.9,2,0,2,214.75
Hardwoods Distribution Inc.,Canada,5,73.7,5,1,0,214.8
"Ameresco, Inc.",US,7,63.9,10.6,0,1,215.2
Ducommun Incorporated,US,8,64.1,11.1,0,0,215.49
Porvair plc,UK,5,57,9.4,0,0,215.96
Access National Corporation,US,7,57,9.9,0,0,216.08
Iradimed Corporation,US,4,66,9,1,0,217.02
Hansard Global plc,UK,5,67.3,6.8,1,0,217.04
"Kirkland's, Inc.",US,9,53.8,13.6,0,1,217.7
Zix Corporation,US,6,58.5,6,0,1,217.88
"Infinity Pharmaceuticals, Inc.",US,9,58.6,5.6,0,2,218.06
McColl's Retail Group plc,UK,7,55.3,10,0,2,218.25
Laura Ashley Holdings plc,UK,7,62,8.3,0,3,218.33
OneREIT,Canada,9,61.3,6.7,0,0,218.38
"Tandem Diabetes Care, Inc.",US,8,62.1,6.8,0,0,219.14
Franklin Covey Co.,US,7,66,15.6,0,1,219.47
"BUILD-A-BEAR WORKSHOP, INC.",US,8,54.9,6,0,4,219.55
"CRA International, Inc.",US,7,63.4,9.3,0,1,220.31
"Telenav, Inc.",US,7,56.7,7.3,0,0,220.42
"PFSweb, Inc.",US,6,53.5,6.3,0,1,220.68
"The First Bancorp, Inc.",US,9,59.6,15.4,0,2,220.92
Transat A.T. Inc.,Canada,11,63.6,12,0,3,221.76
Reitmans (Canada) Limited,Canada,9,66.8,16.4,0,1,222.34
Nutraceutical International Corporation,US,6,61.5,16.8,0,0,222.56
Ballard Power Systems Inc.,Canada,7,59.7,4,0,1,222.73
"Hill International, Inc.",US,9,61.1,9.7,0,1,222.9
"Liquidity Services, Inc.",US,7,57.7,9.7,0,1,223.07
"American Science and Engineering, Inc.",US,7,57.1,6,0,1,223.37
Canexus Corporation,Canada,8,62.3,5,0,1,223.82
"Agile Therapeutics, Inc.",US,7,51.3,3.6,0,1,224.19
American National Bankshares Inc.,US,14,63.2,13,0,1,224.36
Oxford BioMedica plc,UK,7,59.1,6.7,0,0,224.36
"BioCryst Pharmaceuticals, Inc.",US,8,61.8,4.5,0,1,224.76
"Lifetime Brands, Inc.",US,10,69.6,17.4,1,1,224.87
"Hawaiian Telcom Holdco, Inc.",US,9,58.4,4.3,0,1,225.74
"Rigel Pharmaceuticals, Inc.",US,8,61.1,11.1,0,0,225.75
"Ascent Capital Group, Inc.",US,6,55.7,5.5,0,0,226.41
"DSP Group, Inc.",US,7,53,7.1,0,0,226.96
